YEAR,Monthly mean in ft3/s   (Calculation Period: 1940-01-01 -> 2022-05-31),,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
1986,6.57,6.43,61.5,7.77,4.8,3.96,23.8,6.82,6.08,35.8,4.92,8.12,
1987,18.6,17.7,54,6.04,1.91,0.502,0.225,10.1,1.88,3.53,145.8,7.41,
1988,14.4,58.6,7.46,73.3,4.49,1.72,3.91,133.2,6.5,5.38,2.43,1.61,
1989,4.58,5.44,4.52,2.87,0.953,0.977,1.75,11.8,0.516,0.698,1.27,3.27,
1990,4.34,5.17,4.21,2.92,1.13,0.269,18.2,19.4,13.1,1.96,2.09,3.25,
1991,3.75,6.18,389.2,14.2,3.2,1.28,0.645,2.73,2.04,0.509,0.993,8.09,
1992,27.8,76.3,70,12.2,3.73,2.24,1.79,52.3,2.49,2.32,4.79,31.1,
1993,718.5,793.9,125.1,47.1,14.3,4.51,3.28,10,13.7,11.6,20.4,5.85,
1994,4.96,15.4,9.23,6.9,4.92,2.55,2.38,4.1,4.86,1.92,4.37,8.55,
1995,77.9,236.3,70.5,13.6,7.09,3.44,2.12,20.1,22.2,3.07,4.31,5.68,
1996,5.59,6.16,5.53,3.6,1.34,0.811,11.4,5.72,8.08,1.5,2.57,4.1,
1997,9.63,4.99,8.05,4.99,3.22,0.695,0.463,0.757,19.5,5.79,3.23,4.45,
1998,8.28,24.9,100.5,45.4,5.94,3.1,9.83,9.19,2.44,1.95,4.14,5.03,
1999,4.85,5.29,4.58,4.64,2.01,0.926,27.7,5.8,63.2,1.78,2.24,3.45,
2000,3.53,4.07,13,5.85,0.81,0.969,0.309,8.05,0.361,42,14.6,2.76,
2001,4.54,8.13,17.1,6.58,1.58,0.636,0.71,2.14,0.164,0.337,0.471,0.939,
2002,1.77,2.57,2.51,1.9,1.01,0.436,0.305,0.441,94.4,0.768,0.872,1.37,
2003,2.35,28.3,34.5,2.95,1.73,0.559,0.431,15.3,3.18,0.247,0.946,1.13,
2004,2.15,2.96,3.6,5.57,0.757,0.092,14.2,7.46,5.53,1.23,21.2,154,
2005,268.3,613.1,51.1,15,5.31,2.4,6.74,25.7,1.61,3.04,3.18,4.57,
2006,4.8,4.45,5.24,3.55,1.54,1.73,14.6,16.7,6.09,0.927,1.32,2.61,
2007,3.02,3.62,3.85,2.78,1.19,0.267,18.7,3.34,0.618,0.238,0.496,27.3,
2008,175.4,20.9,4.45,2.5,1.51,0.906,7.76,0.697,0.659,0.337,6.78,13.4,
2009,4.2,21.9,5.73,2.05,1.1,0.486,0.812,0.3,0.627,0.375,0.592,1.62,
2010,373.7,14.6,109.9,7.44,2.31,1.38,7.2,4.42,0.566,16.7,0.649,1.46,
2011,3.62,4.22,4.1,2.05,0.846,0.454,0.53,1.32,1.02,0.304,0.54,0.964,
2012,1.47,2.72,2.45,1.77,0.809,0.266,25.5,35.7,2.12,0.214,0.408,0.841,
2013,21.5,3.27,13.4,1.73,0.795,0.113,2.45,23.5,50.2,0.658,0.954,1.68,
2014,2.43,2.43,4.75,1.22,0.89,0.093,2.79,51.3,9.63,0.539,0.698,1.34,
2015,2.68,3.01,20.4,1.38,0.902,1.2,3.41,2.17,0.839,2.49,0.532,0.781,
2016,4.42,2.28,1.74,1.21,0.735,1.98,6.47,26.4,0.266,0.17,0.378,5.53,
2017,82.5,148.7,54.1,2.28,1.13,0.409,26.4,2.25,0.877,0.137,0.327,0.581,
2018,0.841,1.15,1.66,1.17,0.524,0.048,19.8,10.4,0.651,30,6.05,2.52,
2019,3.15,128.7,86.1,3.58,2.1,0.611,0.152,,4.44,0.081,34.7,41.3,
2020,5.62,3.01,238,11.1,2.02,0.253,0.022,0.02,0,0.026,0.221,0.589,
2021,1.29,1.92,2.4,1.54,0.904,0.419,37.1,1.25,1.55,0.745,0.21,0.727,
