"Table","Year","Month","Variable","Value"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"SEP","HAV","149998"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"OCT","HAV","187598"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"NOV","HAV","144410"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"DEC","HAV","137651"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"TOTAL","HAV","1664522"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"JAN","HAV","82943"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"FEB","HAV","129457"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"MAR","HAV","175427"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"APR","HAV","177805"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"MAY","HAV","183495"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"JUN","HAV","135338"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"JUL","HAV","95293"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"AUG","HAV","101705"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"SEP","HAV","139946"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"OCT","HAV","119736"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"NOV","HAV","135762"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"DEC","HAV","113757"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"TOTAL","HAV","1590664"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"JAN","HAV","175142"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"FEB","HAV","109033"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"MAR","HAV","144761"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"APR","HAV","155376"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"MAY","HAV","176442"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"JUN","HAV","81465"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"JUL","HAV","73014"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"AUG","HAV","70573"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"SEP","HAV","164863"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"OCT","HAV","117898"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"NOV","HAV","117023"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"DEC","HAV","128303"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"TOTAL","HAV","1513893"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"JAN","HAV","152339"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"FEB","HAV","113951"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"MAR","HAV","122458"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"APR","HAV","167054"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"MAY","HAV","178122"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"JUN","HAV","91636"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"JUL","HAV","77423"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"AUG","HAV","67691"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"SEP","HAV","131247"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"OCT","HAV","133437"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"NOV","HAV","138414"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"DEC","HAV","117193"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"TOTAL","HAV","1490965"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"JAN","HAV","124543"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"FEB","HAV","60202"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"MAR","HAV","135647"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"APR","HAV","160153"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"MAY","HAV","176014"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"JUN","HAV","82750"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"JUL","HAV","75396"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"AUG","HAV","72195"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"SEP","HAV","132719"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"OCT","HAV","129581"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"NOV","HAV","126981"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"DEC","HAV","141369"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"TOTAL","HAV","1417550"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"JAN","HAV","89713"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"FEB","HAV","107144"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"MAR","HAV","137595"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"APR","HAV","168653"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"MAY","HAV","179408"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"JUN","HAV","92075"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"JUL","HAV","78705"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"AUG","HAV","28360"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"SEP","HAV","165276"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"OCT","HAV","175198"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"NOV","HAV","171224"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"DEC","HAV","142444"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"TOTAL","HAV","1535795"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"JAN","HAV","87341"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"FEB","HAV","151380"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"MAR","HAV","82742"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"APR","HAV","147663"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"MAY","HAV","152805"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"JUN","HAV","106823"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"JUL","HAV","97804"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"AUG","HAV","103954"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"SEP","HAV","159892"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"OCT","HAV","149685"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"NOV","HAV","122354"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"DEC","HAV","73912"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2019,"TOTAL","HAV","1436355"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"JAN","HAV","74264"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"FEB","HAV","74280"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"MAR","HAV","95230"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"APR","HAV","151299"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"MAY","HAV","179138"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"JUN","HAV","106836"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"JUL","HAV","74704"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"AUG","HAV","63124"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"SEP","HAV","164966"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"OCT","HAV","162845"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"NOV","HAV","122812"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"DEC","HAV","141113"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2020,"TOTAL","HAV","1410611"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"JAN","HAV","121163"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"FEB","HAV","110478"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"MAR","HAV","148394"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"APR","HAV","162943"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"MAY","HAV","167634"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"JUN","HAV","89965"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"JUL","HAV","57356"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"AUG","HAV","50715"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"SEP","HAV","107550"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"OCT","HAV","139103"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"NOV","HAV","123440"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"DEC","HAV","85832"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2021,"TOTAL","HAV","1364573"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"JAN","BSH","164543"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"FEB","BSH","157578"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"MAR","BSH","168147"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"APR","BSH","165593"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"MAY","BSH","171563"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"JUN","BSH","128085"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"JUL","BSH","80513"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"AUG","BSH","68245"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"SEP","BSH","94094"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"OCT","BSH","135110"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"NOV","BSH","167920"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"DEC","BSH","66431"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2008,"TOTAL","BSH","1567822"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"JAN","BSH","172609"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"FEB","BSH","160321"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"MAR","BSH","180677"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"APR","BSH","173346"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"MAY","BSH","164542"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"JUN","BSH","96540"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"JUL","BSH","75653"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"AUG","BSH","71223"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"SEP","BSH","143109"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"OCT","BSH","135582"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"NOV","BSH","138356"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"DEC","BSH","149956"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2009,"TOTAL","BSH","1661914"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"JAN","BSH","126570"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"FEB","BSH","91132"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"MAR","BSH","129768"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"APR","BSH","153447"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"MAY","BSH","170260"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"JUN","BSH","171866"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"JUL","BSH","53812"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"AUG","BSH","87485"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"SEP","BSH","168056"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"OCT","BSH","164946"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"NOV","BSH","151403"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"DEC","BSH","189328"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2010,"TOTAL","BSH","1658073"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"JAN","BSH","89883"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"FEB","BSH","133648"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"MAR","BSH","185483"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"APR","BSH","180211"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"MAY","BSH","166760"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"JUN","BSH","154929"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"JUL","BSH","78989"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"AUG","BSH","61206"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"SEP","BSH","102872"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"OCT","BSH","148147"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"NOV","BSH","175396"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"DEC","BSH","150062"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2011,"TOTAL","BSH","1627586"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"JAN","BSH","183456"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"FEB","BSH","168124"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"MAR","BSH","187248"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"APR","BSH","181037"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"MAY","BSH","180167"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"JUN","BSH","130780"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"JUL","BSH","39564"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"AUG","BSH","86262"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"SEP","BSH","137064"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"OCT","BSH","31701"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"NOV","BSH","173055"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"DEC","BSH","133794"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2012,"TOTAL","BSH","1632252"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"JAN","BSH","80986"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"FEB","BSH","145909"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"MAR","BSH","178482"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"APR","BSH","150350"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"MAY","BSH","175758"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"JUN","BSH","129806"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"JUL","BSH","84515"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"AUG","BSH","96581"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"SEP","BSH","149682"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"OCT","BSH","187313"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"NOV","BSH","144175"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"DEC","BSH","137465"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2013,"TOTAL","BSH","1661022"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"JAN","BSH","82846"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"FEB","BSH","129309"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"MAR","BSH","175153"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"APR","BSH","177438"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"MAY","BSH","183070"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"JUN","BSH","134921"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"JUL","BSH","94877"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"AUG","BSH","101371"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"SEP","BSH","139630"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"OCT","BSH","119451"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"NOV","BSH","135527"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"DEC","BSH","113571"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2014,"TOTAL","BSH","1587164"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"JAN","BSH","175045"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"FEB","BSH","108885"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"MAR","BSH","144487"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"APR","BSH","155009"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"MAY","BSH","176017"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"JUN","BSH","81048"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"JUL","BSH","72598"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"AUG","BSH","70239"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"SEP","BSH","164547"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"OCT","BSH","117613"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"NOV","BSH","116788"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"DEC","BSH","128117"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2015,"TOTAL","BSH","1510393"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"JAN","BSH","152242"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"FEB","BSH","113803"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"MAR","BSH","122184"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"APR","BSH","166687"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"MAY","BSH","177697"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"JUN","BSH","91219"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"JUL","BSH","77007"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"AUG","BSH","67357"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"SEP","BSH","130931"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"OCT","BSH","133152"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"NOV","BSH","138179"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"DEC","BSH","117007"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2016,"TOTAL","BSH","1487465"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"JAN","BSH","124446"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"FEB","BSH","60054"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"MAR","BSH","135373"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"APR","BSH","159786"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"MAY","BSH","175589"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"JUN","BSH","82333"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"JUL","BSH","74980"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"AUG","BSH","71861"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"SEP","BSH","132403"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"OCT","BSH","129296"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"NOV","BSH","126746"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"DEC","BSH","141183"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2017,"TOTAL","BSH","1414050"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"JAN","BSH","89616"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"FEB","BSH","106996"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"MAR","BSH","137321"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"APR","BSH","168286"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"MAY","BSH","178983"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"JUN","BSH","91658"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"JUL","BSH","78289"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"AUG","BSH","28026"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"SEP","BSH","164960"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"OCT","BSH","174913"
"CAP Pumping Plants - Projection of Water Volumes Pumped",2018,"NOV","BSH","170989"
