"","Variable","Jan","Feb","Mar","Q1","Apr","May","Jun","Q2","Jul","Aug","Sep","Q3","Oct","Nov","Dec","Q4","Total","Physical Turnout","Group","Subgroup","Name","Section","Year"
"20","               Chandler - TDRP","0","2952","0","2952","0","0","0","0","0","0","0","0","0","0","0","0","2952",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Chandler - TDRP","LITTLE HARQUAHALA PP",2008
"21","               Gilbert - TDRP","0","0","0","0","0","0","1000","1000","0","0","0","0","1849","654","0","2503","3503",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Gilbert - TDRP","LITTLE HARQUAHALA PP",2008
"22","               Surprise - TDRP","0","0","0","0","0","0","5690","5690","0","0","0","0","0","0","0","0","5690",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Surprise - TDRP","LITTLE HARQUAHALA PP",2008
"23","               Harquahala Valley ID","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Harquahala Valley ID","LITTLE HARQUAHALA PP",2008
"24","               Gilbert, town of (TDRP)","0","0","0","0","0","0","0","0","0","0","0","0","0","604","0","604","604",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Gilbert, town of (TDRP)","LITTLE HARQUAHALA PP",2008
"25","               New Harquahala Generating Co.","0","0","0","0","0","0","62","62","269","389","304","962","177","23","0","200","1224",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","New Harquahala Generating Co.","LITTLE HARQUAHALA PP",2008
"26","               VF Investments/Vicksburg Farm","0","0","0","0","0","0","0","0","0","0","0","0","124","0","0","124","124",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","VF Investments/Vicksburg Farm","LITTLE HARQUAHALA PP",2008
"27","               Vidler Water Company","0","0","0","0","0","0","0","0","0","0","0","0","0","2299","1296","3595","3595",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Vidler Water Company","LITTLE HARQUAHALA PP",2008
"28","               TDRP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"MUNICIPAL & INDUSTRIAL:","CAGRD","TDRP","LITTLE HARQUAHALA PP",2008
"29","               Tonopah ID","747","583","1703","3033","767","0","0","767","0","0","0","0","0","0","0","0","3800",NA,"MUNICIPAL & INDUSTRIAL:","CAGRD","Tonopah ID","LITTLE HARQUAHALA PP",2008
"30","                    TOTAL M&I","747","3535","1703","5985","767","3231","6752","10750","269","389","304","962","2150","3580","1296","7026","24723",NA,"TOTAL M&I",NA,NA,"LITTLE HARQUAHALA PP",2008
"31","               Harquahala Valley ID","1289","1592","4942","7823","8651","4700","2071","15422","2026","3133","2672","7831","1084","622","1702","3408","34484",NA,"AGRICULTURAL:","AG Pool","Harquahala Valley ID","LITTLE HARQUAHALA PP",2008
"32","               Tonopah ID","0","0","0","0","1000","1000","1000","3000","460","0","0","460","0","0","0","0","3460",NA,"AGRICULTURAL:","AG Pool","Tonopah ID","LITTLE HARQUAHALA PP",2008
"33","                    TOTAL AG","1289","1592","4942","7823","9651","5700","3071","18422","2486","3133","2672","8291","1084","622","1702","3408","37944",NA,"TOTAL AG",NA,NA,"LITTLE HARQUAHALA PP",2008
"34","               Chandler/Assignment - TDRP","0","972","0","972","0","0","0","0","0","0","0","0","0","0","0","0","972",NA,"FEDERAL:","Off Reservation","Chandler/Assignment - TDRP","LITTLE HARQUAHALA PP",2008
"35","               Chandler/SRPMIC Lease - TDRP","0","1947","639","2586","0","0","0","0","0","0","0","0","0","0","0","0","2586",NA,"FEDERAL:","Off Reservation","Chandler/SRPMIC Lease - TDRP","LITTLE HARQUAHALA PP",2008
"36","               Chandler/Welton-Mohawk - TDRP","0","0","95","95","0","0","0","0","0","0","0","0","0","0","0","0","95",NA,"FEDERAL:","Off Reservation","Chandler/Welton-Mohawk - TDRP","LITTLE HARQUAHALA PP",2008
"37","               Ak-Chin/Del Webb - TDRP","0","0","0","0","0","0","0","0","0","0","0","0","0","258","0","258","258",NA,"FEDERAL:","Off Reservation","Ak-Chin/Del Webb - TDRP","LITTLE HARQUAHALA PP",2008
"38","               Gilbert/Assignment - TDRP","1537","0","0","1537","0","0","0","0","0","0","0","0","0","0","0","0","1537",NA,"FEDERAL:","Off Reservation","Gilbert/Assignment - TDRP","LITTLE HARQUAHALA PP",2008
"39","               Gilbert/Lease- TDRP","3409","0","0","3409","0","0","0","0","0","0","0","0","0","0","0","0","3409",NA,"FEDERAL:","Off Reservation","Gilbert/Lease- TDRP","LITTLE HARQUAHALA PP",2008
"40","               Gilbert/Welton-Mohawk - TDRP","0","717","860","1577","1004","1000","0","2004","0","0","0","0","0","0","0","0","3581",NA,"FEDERAL:","Off Reservation","Gilbert/Welton-Mohawk - TDRP","LITTLE HARQUAHALA PP",2008
"41","               GRIC exchg w/Chandler - TDRP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"FEDERAL:","Off Reservation","GRIC exchg w/Chandler - TDRP","LITTLE HARQUAHALA PP",2008
"42","                    TOTAL FEDERAL","4946","3636","1594","10176","1004","1000","0","2004","0","0","0","0","0","258","0","258","12438",NA,"TOTAL FEDERAL",NA,NA,"LITTLE HARQUAHALA PP",2008
"43","               Az American/WV (TDRP)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"RECHARGE:","Direct Incentive","Az American/WV (TDRP)","LITTLE HARQUAHALA PP",2008
"44","               CAGRD (TDRP)","0","0","0","0","2199","0","0","2199","0","0","0","0","0","0","596","596","2795",NA,"RECHARGE:","Direct Incentive","CAGRD (TDRP)","LITTLE HARQUAHALA PP",2008
"45","               Communities SW (TDRP)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"RECHARGE:","Direct Incentive","Communities SW (TDRP)","LITTLE HARQUAHALA PP",2008
"46","               Gilbert (TDRP)","0","0","4500","4500","0","0","0","0","0","0","0","0","0","0","0","0","4500",NA,"RECHARGE:","Direct Incentive","Gilbert (TDRP)","LITTLE HARQUAHALA PP",2008
"47","               Pulte/Del Webb (TDRP)","800","0","0","800","0","0","0","0","0","0","0","0","0","0","0","0","800",NA,"RECHARGE:","Direct Incentive","Pulte/Del Webb (TDRP)","LITTLE HARQUAHALA PP",2008
"48","               Vidler Water Company","3477","3292","3586","10355","3432","3354","0","6786","0","4812","5487","10299","5855","2982","0","8837","36277",NA,"RECHARGE:","Direct Incentive","Vidler Water Company","LITTLE HARQUAHALA PP",2008
"49","               Valencia Water Company","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"RECHARGE:","Direct Incentive","Valencia Water Company","LITTLE HARQUAHALA PP",2008
"50","               Water Utility of Greater Tonopah","1035","1262","1828","4125","1652","1749","2446","5847","2728","2973","2179","7880","2145","0","0","2145","19997",NA,"RECHARGE:","Direct Incentive","Water Utility of Greater Tonopah","LITTLE HARQUAHALA PP",2008
"51","               Tonopah Desert Recharge Project","2958","2012","3755","8725","2422","5126","2898","10446","455","0","0","455","0","6838","12001","18839","38465",NA,"RECHARGE:","Direct AWBA","Tonopah Desert Recharge Project","LITTLE HARQUAHALA PP",2008
"52","               Interstate Banking (TDRP)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"RECHARGE:","Direct AWBA","Interstate Banking (TDRP)","LITTLE HARQUAHALA PP",2008
"53","               CAGRD/Tonopah ID","0","0","0","0","278","493","463","1234","923","2087","2065","5075","643","116","286","1045","7354",NA,"RECHARGE:","Indirect Incentive","CAGRD/Tonopah ID","LITTLE HARQUAHALA PP",2008
"54","               Tonopah ID","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"RECHARGE:","Indirect AWBA","Tonopah ID","LITTLE HARQUAHALA PP",2008
"55","               TOTAL INDIRECT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"TOTAL INDIRECT",NA,NA,"LITTLE HARQUAHALA PP",2008
"56","               TOTAL RECHARGE","8270","6566","13669","28505","9983","10722","5807","26512","4106","9872","9731","23709","8643","9936","12883","31462","110188",NA,"TOTAL RECHARGE",NA,NA,"LITTLE HARQUAHALA PP",2008
"57","            TOTAL DELIVERIES","15252","15329","21908","52489","21405","20653","15630","57688","6861","13394","12707","32962","11877","14396","15881","42154","185293",NA,"TOTAL DELIVERIES",NA,NA,"LITTLE HARQUAHALA PP",2008
"58","Canal Losses","173","260","471","904","629","725","712","2066","711","573","542","1826","490","407","323","1220","6016",NA,"Canal Losses",NA,NA,"LITTLE HARQUAHALA PP",2008
"59","SEGMENT DEMAND","15425","15589","22379","53393","22034","21378","16342","59754","7572","13967","13249","34788","12367","14803","16204","43374","191309",NA,"SEGMENT DEMAND",NA,NA,"LITTLE HARQUAHALA PP",2008
"60","SEGMENT AVG FLOW (CFS)","250.92316952157856","280.76147251638929","364.04600393668761",NA,"370.38157673558584","347.76243228734563","274.70163052613884",NA,"123.1760285003172","227.20543978657295","222.70969910909395",NA,"201.17775283457777","248.83173642629012","263.59539960633123",NA,NA,NA,"SEGMENT AVG FLOW (CFS)",NA,NA,"LITTLE HARQUAHALA PP",2008
"61","VOLUME PASSING LHQ ","164447","157433","167886","489766","165243","171161","127689","464093","80119","67927","93793","241839","134838","167694","66252","368784","1564482",NA,"VOLUME PASSING LHQ",NA,NA,"LITTLE HARQUAHALA PP",2008
"62","FLOW PASSING LHQ (CFS)","2675.1093976217203","2835.4045097615444","2731.0526572641647",NA,"2777.6601109430158","2784.3280789940295","2146.3943519919312",NA,"1303.3201568168138","1104.9891822426105","1576.6179189779793",NA,"2193.4507832707045","2818.8603126575895","1077.7414474647405",NA,NA,NA,"FLOW PASSING LHQ (CFS)",NA,NA,"LITTLE HARQUAHALA PP",2008
"63","               Arizona-American (PV)/HMRP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Arizona-American (PV)/HMRP","HASSAYAMPA PP",2008
"64","               Arizona-American WV/MWD","0","0","1525","1525","2353","2471","2616","7440","2021","1952","1250","5223","69","5","0","74","14262",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Arizona-American WV/MWD","HASSAYAMPA PP",2008
"65","               Arizona State Land Dept. (ADOT)","4","7","93","104","65","45","53","163","37","30","27","94","32","21","7","60","421",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Arizona State Land Dept. (ADOT)","HASSAYAMPA PP",2008
"66","               Avondale (HMRP)","0","0","0","0","0","0","1362","1362","3500","554","0","4054","0","0","0","0","5416",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Avondale (HMRP)","HASSAYAMPA PP",2008
"67","               CAGRD/AFRP","1676","1897","2548","6121","1625","0","0","1625","0","0","0","0","0","0","0","0","7746",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","CAGRD/AFRP","HASSAYAMPA PP",2008
"68","               Carefree Water Company","40","46","60","146","72","76","56","204","46","48","36","130","32","29","11","72","552",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Carefree Water Company","HASSAYAMPA PP",2008
"69","               Cave Creek Water Company","0","323","177","500","195","193","171","559","220","214","194","628","186","158","144","488","2175",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Cave Creek Water Company","HASSAYAMPA PP",2008
"70","               Chandler, City of","0","0","0","0","0","0","0","0","0","0","810","810","0","650","0","650","1460",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Chandler, City of","HASSAYAMPA PP",2008
"71","               Chaparral City Water Company","442","383","488","1313","542","486","461","1489","520","505","440","1465","551","460","406","1417","5684",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Chaparral City Water Company","HASSAYAMPA PP",2008
"72","               Gilbert, Town of","0","0","0","0","0","0","210","210","721","1577","434","2732","290","500","0","790","3732",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Gilbert, Town of","HASSAYAMPA PP",2008
"73","               Glendale, City of","0","0","0","0","170","1694","1644","3508","1771","1620","1732","5123","2052","1880","1673","5605","14236",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Glendale, City of","HASSAYAMPA PP",2008
"74","               Maricopa County Parks & Rec.","27","25","61","113","68","82","127","277","97","108","70","275","0","0","0","0","665",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Maricopa County Parks & Rec.","HASSAYAMPA PP",2008
"75","               Peoria (AFRP and/or HMRP)","536","454","646","1636","652","2015","1778","4445","5053","1039","3065","9157","2270","769","618","3657","18895",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Peoria (AFRP and/or HMRP)","HASSAYAMPA PP",2008
"76","               Phoenix, City of","9087","6796","8996","24879","11265","1738","14976","27979","15243","14292","12706","42241","13314","11074","9334","33722","128821",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Phoenix, City of","HASSAYAMPA PP",2008
"77","               Rio Verde Utilities Company","16","0","0","16","24","65","25","114","25","25","27","77","17","28","10","55","262",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Rio Verde Utilities Company","HASSAYAMPA PP",2008
"78","               Scottsdale, City of","2439","844","3601","6884","4694","4599","4773","14066","4789","4700","4756","14245","5120","4354","3215","12689","47884",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Scottsdale, City of","HASSAYAMPA PP",2008
"79","               Tempe, City of","172","0","0","172","0","450","500","950","503","500","400","1403","200","300","250","750","3275",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Tempe, City of","HASSAYAMPA PP",2008
"80","               Tonto Hills Utility Co","2","2","2","6","3","3","4","10","3","4","3","10","3","3","2","8","34",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Tonto Hills Utility Co","HASSAYAMPA PP",2008
"81","               Ancala Country Club","9","11","37","57","47","43","53","143","40","38","53","131","77","40","23","140","471",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Ancala Country Club","HASSAYAMPA PP",2008
"82","               Arizona Wholesale Growers","3","2","6","11","13","14","25","52","21","9","15","45","19","10","5","34","142",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Arizona Wholesale Growers","HASSAYAMPA PP",2008
"83","               ASU-Karsten Golf Course","30","0","0","30","40","120","50","210","70","70","60","200","50","80","0","130","570",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","ASU-Karsten Golf Course","HASSAYAMPA PP",2008
"84","               Gilbert, town of","0","0","0","0","0","0","0","0","0","0","0","0","0","0","400","400","400",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Gilbert, town of","HASSAYAMPA PP",2008
"85","               Lafarge North America(former Sun State)","3","2","5","10","6","8","6","20","6","6","5","17","5","8","3","16","63",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Lafarge North America(former Sun State)","HASSAYAMPA PP",2008
"86","               Maricopa County Parks & Rec.","0","0","0","0","0","0","0","0","0","0","13","13","67","58","28","153","166",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Maricopa County Parks & Rec.","HASSAYAMPA PP",2008
"87","               Mazatzal Tree Farm","1","0","1","2","1","2","2","5","2","2","1","5","1","1","0","2","14",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Mazatzal Tree Farm","HASSAYAMPA PP",2008
"88","               Peoria","12","20","53","85","191","186","261","638","247","221","194","662","264","161","42","467","1852",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Peoria","HASSAYAMPA PP",2008
"89","               Recreational Ctr (Scott Shadows)","0","0","0","0","0","18","22","40","35","36","23","94","34","42","0","76","210",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Recreational Ctr (Scott Shadows)","HASSAYAMPA PP",2008
"90","               Shea Sunbelt/Vistancia","6","6","8","20","12","11","12","35","10","11","11","32","7","7","5","19","106",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Shea Sunbelt/Vistancia","HASSAYAMPA PP",2008
"91","               Tonto National Forest","0","0","0","0","0","50","0","50","0","0","0","0","0","8","0","8","58",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Tonto National Forest","HASSAYAMPA PP",2008
"92","               thru Agua Fria","0","0","0","0","296","2414","2269","4979","1022","1355","0","2377","0","1000","0","1000","8356",NA,"MUNICIPAL & INDUSTRIAL:","CAGRD","thru Agua Fria","HASSAYAMPA PP",2008
"93","               thru Hieroglyphic","0","0","3243","3243","2404","0","0","2404","0","0","0","0","278","872","0","1150","6797",NA,"MUNICIPAL & INDUSTRIAL:","CAGRD","thru Hieroglyphic","HASSAYAMPA PP",2008
"94","               thru Scottsdale","4","3","33","40","50","113","156","319","113","87","134","334","154","29","8","191","884",NA,"MUNICIPAL & INDUSTRIAL:","CAGRD","thru Scottsdale","HASSAYAMPA PP",2008
"95","                    TOTAL M&I","14509","10821","21583","46913","24788","16896","31612","73296","36115","29003","26459","91577","25092","22547","16184","63823","275609",NA,"TOTAL M&I",NA,NA,"HASSAYAMPA PP",2008
"96","               Maricopa Water District","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"AGRICULTURAL:","AG Pool","Maricopa Water District","HASSAYAMPA PP",2008
"97","               SRP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"AGRICULTURAL:","AG Pool","SRP","HASSAYAMPA PP",2008
"98","                    TOTAL AG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"TOTAL AG",NA,NA,"HASSAYAMPA PP",2008
"99","               Ak-Chin/Pulte/Anthem - Wad T/O","340","330","384","1054","433","499","558","1490","577","545","475","1597","499","394","318","1211","5352",NA,"FEDERAL:","Off Reservation","Ak-Chin/Pulte/Anthem - Wad T/O","HASSAYAMPA PP",2008
"100","               Ak-Chin/Pulte/MWD","0","0","357","357","0","0","0","0","0","0","0","0","0","0","0","0","357",NA,"FEDERAL:","Off Reservation","Ak-Chin/Pulte/MWD","HASSAYAMPA PP",2008
"101","               Ak-Chin/Pulte/Tierra Del Rio pump","5","7","12","24","15","21","16","52","9","10","6","25","6","5","2","13","114",NA,"FEDERAL:","Off Reservation","Ak-Chin/Pulte/Tierra Del Rio pump","HASSAYAMPA PP",2008
"102","               Ak-Chin/Pulte/Festrival Rch pumps","44","22","52","118","86","92","111","289","100","130","92","322","121","56","17","194","923",NA,"FEDERAL:","Off Reservation","Ak-Chin/Pulte/Festrival Rch pumps","HASSAYAMPA PP",2008
"103","               Chandler/Assignment","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"FEDERAL:","Off Reservation","Chandler/Assignment","HASSAYAMPA PP",2008
"104","               Gilbert/Assignment","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"FEDERAL:","Off Reservation","Gilbert/Assignment","HASSAYAMPA PP",2008
"105","               Glendale/Assignment","682","0","0","682","0","0","0","0","0","0","0","0","0","0","0","0","682",NA,"FEDERAL:","Off Reservation","Glendale/Assignment","HASSAYAMPA PP",2008
"106","               Mesa/Assignment","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"FEDERAL:","Off Reservation","Mesa/Assignment","HASSAYAMPA PP",2008
"107","               Phoenix/Assignment","1136","0","0","1136","0","0","0","0","0","0","0","0","0","0","0","0","1136",NA,"FEDERAL:","Off Reservation","Phoenix/Assignment","HASSAYAMPA PP",2008
"108","               Scottsdale/Assignment","23","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","23",NA,"FEDERAL:","Off Reservation","Scottsdale/Assignment","HASSAYAMPA PP",2008
"109","               Tempe/Assignment","23","0","0","23","0","0","0","0","0","0","0","0","0","0","0","0","23",NA,"FEDERAL:","Off Reservation","Tempe/Assignment","HASSAYAMPA PP",2008
"110","               Phoenix/Fort McDowell","0","0","0","0","0","4300","0","4300","0","0","0","0","0","0","0","0","4300",NA,"FEDERAL:","Off Reservation","Phoenix/Fort McDowell","HASSAYAMPA PP",2008
"111","               GRIC exchg w/Chandler - SRP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"FEDERAL:","Off Reservation","GRIC exchg w/Chandler - SRP","HASSAYAMPA PP",2008
"112","               Peoria/GRIC Settlement Lease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"FEDERAL:","Off Reservation","Peoria/GRIC Settlement Lease","HASSAYAMPA PP",2008
"113","               Phoenix/GRIC Settlement Lease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"FEDERAL:","Off Reservation","Phoenix/GRIC Settlement Lease","HASSAYAMPA PP",2008
"114","               GRIC/SRP excahnge","1161","0","0","1161","3282","1728","1804","6814","1563","1434","1321","4318","1671","1654","0","3325","15618",NA,"FEDERAL:","Off Reservation","GRIC/SRP excahnge","HASSAYAMPA PP",2008
"115","               Scottsdale/GRIC Settlement Lease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"FEDERAL:","Off Reservation","Scottsdale/GRIC Settlement Lease","HASSAYAMPA PP",2008
"116","               Chandler/SRPMIC Lease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"FEDERAL:","Off Reservation","Chandler/SRPMIC Lease","HASSAYAMPA PP",2008
"117","               Gilbert/SRPMIC Lease","679","0","0","679","0","0","0","0","0","0","0","0","0","0","0","0","679",NA,"FEDERAL:","Off Reservation","Gilbert/SRPMIC Lease","HASSAYAMPA PP",2008
"118","               Glendale/SRPMIC Lease","0","0","96","96","1718","0","0","1718","0","0","0","0","0","0","0","0","1814",NA,"FEDERAL:","Off Reservation","Glendale/SRPMIC Lease","HASSAYAMPA PP",2008
"119","               Mesa/SRPMIC Lease","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"FEDERAL:","Off Reservation","Mesa/SRPMIC Lease","HASSAYAMPA PP",2008
"120","               Phoenix/SRPMIC Lease","0","0","0","0","0","3023","0","3023","0","0","0","0","0","0","0","0","3023",NA,"FEDERAL:","Off Reservation","Phoenix/SRPMIC Lease","HASSAYAMPA PP",2008
"121","               Scottsdale/SRPMIC Lease","0","60","0","60","0","0","0","0","0","0","0","0","0","0","0","0","60",NA,"FEDERAL:","Off Reservation","Scottsdale/SRPMIC Lease","HASSAYAMPA PP",2008
"122","               Tempe/SRPMIC Lease","60","0","0","60","0","0","0","0","0","0","0","0","0","0","0","0","60",NA,"FEDERAL:","Off Reservation","Tempe/SRPMIC Lease","HASSAYAMPA PP",2008
"123","               San Carlos Apache/SRP","0","0","0","0","0","0","0","0","350","366","350","1066","0","0","0","0","1066",NA,"FEDERAL:","Off Reservation","San Carlos Apache/SRP","HASSAYAMPA PP",2008
"124","               San Carlos Apache/Scottsdale","0","1831","669","2500","0","0","0","0","0","0","0","0","0","0","0","0","2500",NA,"FEDERAL:","Off Reservation","San Carlos Apache/Scottsdale","HASSAYAMPA PP",2008
"125","               Chandler/Welton-Mohawk","0","0","0","0","0","0","1300","1300","1466","0","43","1509","0","0","0","0","2809",NA,"FEDERAL:","Off Reservation","Chandler/Welton-Mohawk","HASSAYAMPA PP",2008
"126","               Gilbert/Welton-Mohawk","38","0","0","38","1004","1434","367","2805","0","0","0","0","0","0","0","0","2843",NA,"FEDERAL:","Off Reservation","Gilbert/Welton-Mohawk","HASSAYAMPA PP",2008
